Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
Deebo Samuel,19.0,27,WR,15,15,215,Jun-00,South Carolina,1/15/96,4,11,San Francisco 49ers / 2nd / 36th pick / 2019,SamuDe00
Ambry Thomas,20.0,24,CB,15,6,190,Jun-00,Michigan,9/9/99,2,2,San Francisco 49ers / 3rd / 102nd pick / 2021,ThomAm00
Charvarius Ward,7.0,27,CB,17,17,196,1-Jun,Hinds CCMiddle Tenn. St.,5/16/96,5,11,,WardCh01
Fred Warner,54.0,27,LB,17,17,230,3-Jun,BYU,11/19/96,5,17,San Francisco 49ers / 3rd / 70th pick / 2018,WarnFr00
Trent Williams,71.0,35,T,15,15,320,5-Jun,Oklahoma,7/19/88,13,17,Washington Redskins / 1st / 4th pick / 2010,WillTr21
Brayden Willis,9.0,24,TE,7,0,240,,Oklahoma,11/11/99,Rook,0,San Francisco 49ers / 7th / 247th pick / 2023,WillBr06
Dee Winters,53.0,23,LB,15,0,227,,TCU,10/17/00,Rook,1,San Francisco 49ers / 6th / 216th pick / 2023,WintDe00
Mitch Wishnowsky,18.0,31,P,17,0,220,2-Jun,Utah,3/3/92,4,2,San Francisco 49ers / 4th / 110th pick / 2019,WishMi00
Charlie Woerner,89.0,26,TE,17,2,241,5-Jun,Georgia,10/16/97,3,0,San Francisco 49ers / 6th / 190th pick / 2020,WoerCh00
Samuel Womack,0.0,24,CB,7,0,189,10-May,Toledo,7/7/99,1,0,San Francisco 49ers / 5th / 172nd pick / 2022,WomaSa00
Chase Young,92.0,24,DL,9,0,264,5-Jun,Ohio St.,4/14/99,3,1,Washington Football Team / 1st / 2nd pick / 2020,YounCh04
Isaac Alarcon (NWT),,25,OL,0,0,301,7-Jun,No College,7/27/98,Rook,,,AlarIs00
Kalia Davis (IRD),93.0,25,DL,3,0,310,2-Jun,Central Florida,10/2/98,Rook,0,San Francisco 49ers / 6th / 220th pick / 2022,DaviKa01
George Odum (IRD),30.0,30,S,11,0,202,1-Jun,Central Arkansas,11/3/93,5,1,,OdumGe00
Ross Dwelley (IR),82.0,28,TE,12,0,235,5-Jun,San Diego,1/26/95,5,0,,DwelRo00
Clelin Ferrell (IR),94.0,26,DL,17,17,265,4-Jun,Clemson,5/17/97,4,8,Oakland Raiders / 1st / 4th pick / 2019,FerrCl00
Danny Gray (IR),6.0,24,WR,0,0,200,Jun-00,Blinn College (TX)SMU,4/1/99,1,,San Francisco 49ers / 3rd / 105th pick / 2022,GrayDa02
Tayler Hawkins (IR),41.0,26,S,1,1,205,1-Jun,San Diego St.,12/27/97,Rook,0,,HawkTa01
Talanoa Hufanga (IR),29.0,23,S,10,10,200,Jun-00,USC,2/1/00,2,3,San Francisco 49ers / 5th / 180th pick / 2021,HufaTa00
Drake Jackson (IR),95.0,22,DL,8,0,273,4-Jun,USC,4/12/01,1,1,San Francisco 49ers / 2nd / 61st pick / 2022,JackDr01
Cameron Latu (IR),81.0,23,TE,0,0,244,,Alabama,2/24/00,Rook,,San Francisco 49ers / 3rd / 101st pick / 2023,LatuCa01
Jason Verrett (IR),22.0,32,CB,1,0,188,10-May,TCU,6/18/91,9,0,San Diego Chargers / 1st / 25th pick / 2014,VerrJa00
Nick Zakelj (IR),63.0,24,OL,4,0,316,6-Jun,Fordham,6/22/99,1,0,San Francisco 49ers / 6th / 187th pick / 2022,ZakeNi00
Budda Baker,3.0,27,S,12,12,195,10-May,Washington,1/10/96,6,5.0,Arizona Cardinals / 2nd / 36th pick / 2017,BakeBu00
Krys Barnes,51.0,25,LB,16,6,229,2-Jun,UCLA,4/2/98,3,3.0,,BarnKr00
Kelvin Beachum,68.0,34,OL,11,2,308,3-Jun,SMU,6/8/89,11,2.0,Pittsburgh Steelers / 7th / 248th pick / 2012,BeacKe00
Joey Blount,32.0,25,S,11,0,201,1-Jun,Virginia,11/16/98,1,1.0,,BlouJo00
Aaron Brewer,46.0,33,LS,17,0,232,5-Jun,San Diego St.,7/5/90,11,1.0,,BrewAa00
Michael Carter,22.0,24,RB,6,0,201,8-May,North Carolina,5/7/99,2,1.0,New York Jets / 4th / 107th pick / 2021,CartMi03
Andre Chachere,36.0,27,CB,17,5,197,Jun-00,San Jose St.,2/10/96,2,2.0,,ChacAn00
Kei'Trel Clark,13.0,22,CB,14,7,181,,LibertyLouisville,3/19/01,Rook,2.0,Arizona Cardinals / 6th / 180th pick / 2023,ClarKe02
Zaven Collins,25.0,24,LB,17,17,260,4-Jun,Tulsa,5/19/99,2,6.0,Arizona Cardinals / 1st / 16th pick / 2021,CollZa00
Trystan Colon-Castillo,63.0,25,OL,14,4,313,3-Jun,Missouri,3/23/98,3,3.0,,ColoTr01
James Conner,6.0,28,RB,13,13,233,1-Jun,Pittsburgh,5/5/95,6,9.0,Pittsburgh Steelers / 3rd / 105th pick / 2017,ConnJa00
Dennis Daley,71.0,27,OL,3,1,325,6-Jun,South Carolina,8/7/96,4,1.0,Carolina Panthers / 6th / 212th pick / 2019,DaleDe00
Emari Demercado,31.0,24,RB,14,2,215,9-May,Saddleback CollegeTCU,1/20/99,Rook,3.0,,DemeEm00
Victor Dimukeje,52.0,24,OLB,16,6,262,2-Jun,Duke,11/18/99,2,3.0,Arizona Cardinals / 6th / 210th pick / 2021,DimuVi00
Greg Dortch,83.0,25,WR,16,4,175,7-May,Wake Forest,5/29/98,4,3.0,,DortGr01
Leki Fotu,95.0,25,DT,11,9,334,5-Jun,Utah,8/23/98,3,3.0,Arizona Cardinals / 4th / 114th pick / 2020,FotuLe00
Hjalte Froholdt,72.0,27,OL,17,17,310,5-Jun,Arkansas,8/20/96,3,8.0,New England Patriots / 4th / 118th pick / 2019,FrohHj00
Dennis Gardeck,45.0,29,OLB,17,8,232,Jun-00,Sioux Falls,8/9/94,5,4.0,,GardDe01
Blake Gillikin,12.0,25,P,13,0,196,2-Jun,Penn St.,1/21/98,2,2.0,,GillBl00
Antonio Hamilton,33.0,30,CB,14,9,195,Jun-00,South Carolina St.,1/24/93,7,3.0,,HamiAn01
Will Hernandez,76.0,28,OL,17,17,332,2-Jun,Texas-El Paso,9/2/95,5,8.0,New York Giants / 2nd / 34th pick / 2018,HernWi00
Elijah Higgins,84.0,23,TE,11,2,235,,Stanford,10/27/00,Rook,2.0,Miami Dolphins / 6th / 197th pick / 2023,HiggEl00
Phil Hoskins,79.0,26,DT,5,1,315,5-Jun,Highland (KS)Kentucky,1/2/97,2,1.0,Carolina Panthers / 7th / 232nd pick / 2021,HoskPh00
Keith Ismael,60.0,25,OL,13,0,309,3-Jun,San Diego St.,7/25/98,3,1.0,Washington Football Team / 5th / 156th pick / 2020,IsmaKe00
Paris Johnson,70.0,22,OL,17,17,313,,Ohio St.,7/3/01,Rook,8.0,Arizona Cardinals / 1st / 6th pick / 2023,JohnPa03
Naquan Jones,96.0,25,DT,4,1,313,3-Jun,Michigan St.,2/5/98,2,0.0,,JoneNa01
Qwuantrezz Knight,28.0,26,S,6,0,199,Jun-00,MarylandKent St.UCLA,10/10/97,Rook,0.0,,KnigQw00
Roy Lopez,98.0,26,DT,14,5,318,2-Jun,New Mexico St.Arizona,8/7/97,2,2.0,Houston Texans / 6th / 195th pick / 2021,LopeRo00
Jesse Luketa,43.0,24,OLB,14,1,253,3-Jun,Penn St.,1/15/99,1,1.0,Arizona Cardinals / 7th / 256th pick / 2022,LukeJe00
Tyreek Maddox-Williams,58.0,26,LB,3,0,228,Jun-00,Rutgers,10/28/97,Rook,0.0,,MaddTy00
Trey McBride,85.0,24,TE,17,12,246,4-Jun,Colorado St.,11/22/99,1,8.0,Arizona Cardinals / 2nd / 55th pick / 2022,McBrTr01
Rondale Moore,4.0,23,WR,17,8,180,7-May,Purdue,6/9/00,2,5.0,Arizona Cardinals / 2nd / 49th pick / 2021,MoorRo02
Kyler Murray,1.0,26,QB,8,8,207,10-May,Texas A&MOklahoma,8/7/97,4,8.0,Arizona Cardinals / 1st / 1st pick / 2019,MurrKy00
Trevor Nowaske,53.0,25,LB,0,0,235,3-Jun,Saginaw Valley St.,11/7/98,Rook,,,NowaTr00
Carter O'Donnell,61.0,25,OL,5,3,313,5-Jun,University of Alberta,12/23/98,Rook,2.0,,ODonCa00
BJ Ojulari,18.0,21,OLB,17,0,248,2-Jun,LSU,4/5/02,Rook,1.0,Arizona Cardinals / 2nd / 41st pick / 2023,OjulBJ00
Owen Pappoe,44.0,23,LB,16,1,225,Jun-00,Auburn,9/29/00,Rook,1.0,Arizona Cardinals / 5th / 168th pick / 2023,PappOw00
Zach Pascal,0.0,29,WR,14,1,215,2-Jun,Old Dominion,12/18/94,5,0.0,,PascZa00
Matt Prater,5.0,39,K,17,0,201,10-May,Central Florida,8/10/84,16,4.0,,PratMa20
Bobby Price,26.0,25,CB,6,0,205,4-Jun,Norfolk St.,4/25/98,3,0.0,,PricBo00
Tyreke Smith,50.0,23,LB,2,0,255,3-Jun,Ohio St.,2/14/00,Rook,0.0,Seattle Seahawks / 5th / 158th pick / 2022,SmitTy03
Ben Stille,90.0,26,DL,5,0,296,4-Jun,Nebraska,11/12/97,1,0.0,,StilBe00
Cameron Thomas,97.0,23,OLB,15,3,267,4-Jun,San Diego St.,1/7/00,1,2.0,Arizona Cardinals / 3rd / 87th pick / 2022,ThomCa03
Starling Thomas,24.0,23,CB,12,7,194,,Ala-Birmingham,1/25/00,Rook,2.0,,ThomSt01
Jalen Thompson,34.0,25,S,15,15,190,11-May,Washington St.,7/18/98,4,5.0,Arizona Cardinals / 5th / 1st pick / 2019 Supp,ThomJa04
Clayton Tune,15.0,24,QB,7,1,220,,Houston,3/23/99,Rook,0.0,Arizona Cardinals / 5th / 139th pick / 2023,TuneCl00
Zeke Turner,47.0,27,LB,16,1,214,2-Jun,Washington,6/9/96,5,1.0,,TurnZe00
Travis Vokolek,81.0,25,TE,2,0,260,6-Jun,RutgersNebraska,6/4/98,Rook,0.0,,VokoTr00
Blake Whiteheart,89.0,23,TE,2,0,247,,Wake Forest,3/22/00,Rook,0.0,,WhitBl01
Elijah Wilkinson,65.0,28,OL,10,9,314,6-Jun,Massachusetts,2/10/95,6,5.0,,WilkEl00
Garrett Williams,21.0,22,CB,9,6,192,,Syracuse,6/1/01,Rook,2.0,Arizona Cardinals / 3rd / 72nd pick / 2023,WillGa00
Divaad Wilson,27.0,23,CB,2,1,195,Jun-00,GeorgiaCentral Florida,1/26/00,Rook,0.0,,WilsDi00
Michael Wilson,14.0,23,WR,13,12,213,,Stanford,2/23/00,Rook,6.0,Arizona Cardinals / 3rd / 94th pick / 2023,WilsMi02
Daniel Arias (NWT),,25,WR,0,0,216,3-Jun,Colorado,9/2/98,Rook,,,AriaDa00
Andre Baccellia (NWT),82.0,26,WR,5,0,175,10-May,Washington,1/7/97,1,0.0,,BaccAn00
Jackson Barton (NWT),66.0,28,OL,1,0,302,7-Jun,Utah,8/8/95,2,0.0,Indianapolis Colts / 7th / 240th pick / 2019,BartJa00
Dan Chisena (NWT),16.0,26,WR,4,0,202,3-Jun,Penn St.,2/25/97,3,0.0,,ChisDa00
Kaden Davis (NWT),17.0,25,WR,0,0,190,1-Jun,Northwest Missouri State,9/25/98,Rook,,,DaviKa02
Darren Hall (NWT),,23,CB,0,0,190,Jun-00,San Diego St.,5/2/00,2,,Atlanta Falcons / 4th / 108th pick / 2021,HallDa03
Marquis Hayes (NWT),78.0,24,OL,0,0,318,5-Jun,Oklahoma,2/14/99,Rook,,Arizona Cardinals / 7th / 257th pick / 2022,HayeMa00
Tony Jones (NWT),37.0,26,RB,3,0,224,11-May,Notre Dame,11/24/97,3,0.0,,JoneTo04
Verone McKinley (NWT),35.0,23,S,0,0,190,10-May,Oregon,6/29/00,1,,,McKiVe00
Michael Ojemudia (NWT),,26,DB,0,0,200,1-Jun,Iowa,9/12/97,3,,Denver Broncos / 3rd / 77th pick / 2020,OjemMi00
Austen Pleasants (NWT),,26,OL,0,0,330,7-Jun,Ohio,8/22/97,2,,,PleaAu00
Bernhard Seikovits (NWT),80.0,26,TE,0,0,262,5-Jun,,7/24/97,Rook,,,SeikBe00
Jeff Smith (NWT),81.0,26,WR,0,0,195,1-Jun,Boston Col.,4/21/97,4,,,SmitJe03
Quavian White (NWT),37.0,23,CB,0,0,187,8-May,Georgia State,6/12/00,Rook,,,WhitQu00
Marquise Brown (IR),2.0,26,WR,14,14,180,9-May,College of the Canyons (CA)Oklahoma,6/4/97,4,6.0,Baltimore Ravens / 1st / 25th pick / 2019,BrowMa04
L.J. Collier (IR),91.0,28,DL,1,1,291,2-Jun,TCU,9/12/95,4,0.0,Seattle Seahawks / 1st / 29th pick / 2019,CollLJ00
Pat Elflein (IR),50.0,29,OL,0,0,303,2-Jun,Ohio St.,7/6/94,6,,Minnesota Vikings / 3rd / 70th pick / 2017,ElflPa00
Rashad Fenton (IR),24.0,26,CB,0,0,193,11-May,South Carolina,2/17/97,4,,Kansas City Chiefs / 6th / 201st pick / 2019,FentRa00
Jon Gaines (IR),59.0,24,OL,0,0,303,4-Jun,UCLA,5/24/99,Rook,,Arizona Cardinals / 4th / 122nd pick / 2023,GainJo00
Matt Hembrough (IR),39.0,24,LS,0,0,236,3-Jun,Oklahoma State,5/17/99,Rook,,,HembMa00
Hayden Howerton (IR),75.0,24,OL,0,0,300,3-Jun,SMU,2/11/99,Rook,,,HoweHa00
D.J. Humphries (IR),74.0,30,OL,15,15,307,5-Jun,Florida,12/28/93,7,7.0,Arizona Cardinals / 1st / 24th pick / 2015,HumpD.00
Jonathan Ledbetter (IR),93.0,26,DL,12,12,282,4-Jun,Georgia,9/12/97,4,4.0,,LedbJo01
Marlon Mack (IR),32.0,27,RB,0,0,210,11-May,South Florida,3/7/96,6,,Indianapolis Colts / 4th / 143rd pick / 2017,MackMa00
Dante Stills (IR),55.0,24,DT,15,8,286,,West Virginia,12/14/99,Rook,3.0,Arizona Cardinals / 6th / 213th pick / 2023,StilDa01
Geoff Swaim (IR),87.0,30,TE,14,8,260,4-Jun,Texas,9/16/93,8,1.0,Dallas Cowboys / 7th / 246th pick / 2015,SwaiGe00
Carlos Watkins (IR),94.0,30,DT,2,1,305,3-Jun,Clemson,12/5/93,6,0.0,Houston Texans / 4th / 142nd pick / 2017,WatkCa00
Kyzir White (IR),7.0,27,LB,11,11,234,2-Jun,West Virginia,3/24/96,5,4.0,Los Angeles Chargers / 4th / 119th pick / 2018,WhitKy00
Josh Woods (IR),10.0,27,LB,11,7,230,1-Jun,Maryland,7/1/96,4,3.0,,WoodJo02
Brian Allen,55.0,28,OL,5,0,303,2-Jun,Michigan St.,10/11/95,5,0.0,Los Angeles Rams / 4th / 111th pick / 2018,AlleBr02
Davis Allen,87.0,22,TE,15,1,245,,Clemson,2/3/01,Rook,1.0,Los Angeles Rams / 5th / 175th pick / 2023,AlleDa02
Tremayne Anchrum,72.0,25,G,17,0,314,2-Jun,Clemson,6/24/98,3,1.0,Los Angeles Rams / 7th / 250th pick / 2020,AnchTr00
Tutu Atwell,5.0,24,WR,16,14,165,9-May,Louisville,10/7/99,2,5.0,Los Angeles Rams / 2nd / 57th pick / 2021,AtweTu00
Steve Avila,73.0,24,G,17,17,332,3-Jun,TCU,10/16/99,Rook,8.0,Los Angeles Rams / 2nd / 36th pick / 2023,AvilSt00
Bobby Brown,95.0,23,NT,13,13,324,4-Jun,Texas A&M,8/7/00,2,5.0,Los Angeles Rams / 4th / 117th pick / 2021,BrowBo04
Aaron Donald,99.0,32,DT,16,16,280,1-Jun,Pittsburgh,5/23/91,9,15.0,St. Louis Rams / 1st / 13th pick / 2014,DonaAa00
Kevin Dotson,69.0,27,OL,14,14,321,4-Jun,Louisiana,9/18/96,3,6.0,Pittsburgh Steelers / 4th / 135th pick / 2020,DotsKe00
Cobie Durant,14.0,25,DB,16,9,180,11-May,South Carolina St.,2/9/98,1,3.0,Los Angeles Rams / 4th / 142nd pick / 2022,DuraDe01
Ethan Evans,42.0,22,P,17,0,231,3-Jun,Wingate,7/19/01,Rook,2.0,Los Angeles Rams / 7th / 223rd pick / 2023,EvanEt00
Zach Evans,21.0,22,RB,10,0,202,11-May,TCUMississippi,5/30/01,Rook,0.0,Los Angeles Rams / 6th / 215th pick / 2023,EvanZa00
Royce Freeman,24.0,27,RB,14,0,238,Jun-00,Oregon,2/24/96,5,2.0,Denver Broncos / 3rd / 71st pick / 2018,FreeRo00
Jordan Fuller,4.0,25,DB,17,17,203,2-Jun,Ohio St.,3/4/98,3,6.0,Los Angeles Rams / 6th / 199th pick / 2020,FullJo01
Nick Hampton,31.0,23,OLB,10,0,235,,Appalachian St.,4/5/00,Rook,1.0,Los Angeles Rams / 5th / 161st pick / 2023,HampNi00
Rob Havenstein,79.0,31,T,14,14,330,8-Jun,Wisconsin,5/13/92,8,8.0,St. Louis Rams / 2nd / 57th pick / 2015,HaveRo00
Tyler Higbee,89.0,30,TE,15,15,255,6-Jun,Western Kentucky,1/1/93,7,5.0,Los Angeles Rams / 4th / 110th pick / 2016,HigbTy00
Michael Hoecht,97.0,26,OLB,17,17,310,4-Jun,Brown,10/5/97,2,7.0,,HoecMi00
Brycen Hopkins,88.0,26,TE,15,0,245,4-Jun,Purdue,3/27/97,3,1.0,Los Angeles Rams / 4th / 136th pick / 2020,HopkBr01
Jake Hummel,35.0,24,LB,17,0,235,1-Jun,Iowa St.,1/4/99,1,1.0,,HummJa00
Alaric Jackson,77.0,25,T,15,15,285,7-Jun,Iowa,7/14/98,2,8.0,,JackAl01
Desjuan Johnson,94.0,24,DE,11,0,252,3-Jun,Toledo,9/3/99,Rook,1.0,Los Angeles Rams / 7th / 259th pick / 2023,JohnDe08
John Johnson,43.0,28,DB,17,8,209,Jun-00,Boston Col.,12/19/95,6,3.0,Los Angeles Rams / 3rd / 91st pick / 2017,JohnJo10
Tyler Johnson,16.0,25,WR,1,0,205,1-Jun,Minnesota,8/25/98,3,0.0,Tampa Bay Buccaneers / 5th / 161st pick / 2020,JohnTy00
Ernest Jones,53.0,24,LB,15,15,230,2-Jun,South Carolina,11/22/99,2,6.0,Los Angeles Rams / 3rd / 103rd pick / 2021,JoneEr01
Derion Kendrick,1.0,23,DB,17,12,190,Jun-00,ClemsonGeorgia,8/24/00,1,4.0,Los Angeles Rams / 6th / 212th pick / 2022,KendDe00
Cooper Kupp,10.0,30,WR,12,12,208,2-Jun,Eastern Washington,6/15/93,6,7.0,Los Angeles Rams / 3rd / 69th pick / 2017,KuppCo00
Quentin Lake,37.0,24,DB,14,4,201,1-Jun,UCLA,1/29/99,1,2.0,Los Angeles Rams / 6th / 211th pick / 2022,LakeQu00
Brett Maher,8.0,34,K,8,0,180,Jun-00,Nebraska,11/21/89,5,0.0,,MaheBr01
Ochaun Mathis,32.0,24,OLB,8,0,260,,TCUNebraska,1/8/99,Rook,1.0,Los Angeles Rams / 6th / 189th pick / 2023,MathOc00
Warren McClendon,71.0,22,T,6,0,300,,Georgia,4/11/01,Rook,0.0,Los Angeles Rams / 5th / 174th pick / 2023,McClWa00
Larrell Murchison,52.0,26,DT,15,3,297,2-Jun,North Carolina St.,4/24/97,3,2.0,Tennessee Titans / 5th / 174th pick / 2020,MurcLa00
Puka Nacua,17.0,22,WR,17,17,205,2-Jun,WashingtonBYU,5/29/01,Rook,14.0,Los Angeles Rams / 5th / 177th pick / 2023,NacuPu00
Joseph Noteboom,70.0,28,T,14,8,321,5-Jun,TCU,6/19/95,5,5.0,Los Angeles Rams / 3rd / 89th pick / 2018,NoteJo00
Troy Reeder,59.0,29,LB,17,6,245,3-Jun,Penn St.Delaware,9/13/94,4,3.0,,ReedTr01
Ronnie Rivers,20.0,24,RB,9,1,195,,Fresno St.,1/31/99,1,1.0,,RiveRo01
Demarcus Robinson,15.0,29,WR,16,4,203,1-Jun,Florida,9/21/94,7,4.0,Kansas City Chiefs / 4th / 126th pick / 2016,RobiDe01
Christian Rozeboom,56.0,26,LB,17,5,230,2-Jun,South Dakota St.,1/30/97,2,3.0,,RozeCh00
Duke Shelley,26.0,27,DB,11,0,183,8-May,Kansas St.,10/8/96,4,1.0,Chicago Bears / 6th / 205th pick / 2019,ShelDu00
Coleman Shelton,65.0,28,G,17,17,299,4-Jun,Washington,7/28/95,4,8.0,,ShelCo00
Ben Skowronek,18.0,26,WR,17,0,224,3-Jun,NorthwesternNotre Dame,6/27/97,2,1.0,Los Angeles Rams / 7th / 249th pick / 2021,SkowBe00
Matthew Stafford,9.0,35,QB,15,15,220,3-Jun,Georgia,2/7/88,14,13.0,Detroit Lions / 1st / 1st pick / 2009,StafMa00
Jason Taylor,25.0,24,DB,8,0,204,,Oklahoma St.,12/30/99,Rook,0.0,Los Angeles Rams / 7th / 234th pick / 2023,TaylJa05
Keir Thomas,96.0,25,OLB,8,0,275,2-Jun,South CarolinaFlorida St.,1/25/98,1,1.0,,ThomKe04
Carson Tinker,46.0,34,LS,4,0,233,Jun-00,Alabama,11/15/89,10,0.0,,TinkCa00
Tre'Vius Tomlinson,6.0,22,DB,15,0,180,,TCU,1/10/01,Rook,1.0,Los Angeles Rams / 6th / 182nd pick / 2023,HodgTr00
Austin Trammell,81.0,25,WR,16,0,185,10-May,Rice,7/4/98,2,0.0,,TramAu00
Kobie Turner,91.0,24,NT,17,4,288,2-Jun,RichmondWake Forest,4/26/99,Rook,3.0,Los Angeles Rams / 3rd / 89th pick / 2023,TurnKo00
Carson Wentz,11.0,31,QB,2,1,237,5-Jun,North Dakota St.,12/30/92,7,1.0,Philadelphia Eagles / 1st / 2nd pick / 2016,WentCa00
